id,first_name,last_name,email,phone,birth_date,position
b9c97978-5ed1-42e6-a1ca-38ce253c5864,Ryan,Thompson,kimberlyhuff@example.com,(249)619-4738x22884,1987-12-11,Cashier
77581e04-c8a3-438c-a233-e9ea8e21e9e7,Scott,Johnson,piercebetty@example.com,826-619-2539x8382,1996-10-23,Chef
16edcee0-5135-4a35-8fa7-f7c4a7aad352,Jordan,Watts,nancy44@example.com,001-419-778-6169x07322,1968-06-29,Cashier
624da86d-d6c6-49c5-8197-d86e46c72cf5,Karen,Allen,bethgarrison@example.net,9146807330,2000-02-25,Chef
83d5c378-2308-4591-b5fc-5c14bcb9cc86,Amanda,Sanders,samanthabrooks@example.com,866-959-3524x875,1963-02-23,Manager
b69957c2-cf5b-4a37-a9ea-007b51acdfc1,Julie,Martin,jenniferpage@example.com,+1-467-815-0862x0883,1966-12-28,Cleaner
2176231c-bf8c-4c6c-850b-736ebcfab76f,Natalie,Jackson,russosamuel@example.com,324-776-2687x06610,1996-10-01,Cleaner
6efacab3-0514-4d10-8f83-094ebaf36d2c,Jennifer,Blake,ellen38@example.org,+1-772-231-6434,2005-01-29,Waiter
594b80f2-31d9-4253-be95-7c5171e58344,Aimee,Levy,johnsonstephanie@example.com,+1-515-352-0718x2288,1999-11-29,Cleaner
9cd88d38-d395-4109-93cd-aa28586c9cc9,Michael,Wyatt,patrickbarton@example.net,951.967.8883x5756,1960-12-26,Waiter
823e3ca0-0765-4c7c-8e8d-54670e751e00,Christopher,Lewis,robert91@example.com,378-972-6171x7289,1969-02-25,Cashier
c007826f-86ad-4cd8-96c5-0c34c6eec568,William,Reed,mathisjoseph@example.com,(458)597-6585x60307,2003-01-20,Chef
dee331dd-ea88-41a1-b1cb-1b05179c386a,Taylor,Ruiz,amandamitchell@example.com,833-258-3645,2001-04-24,Manager
af9a2527-d4d8-4945-ad83-3aca1aa99c39,Jennifer,Duran,kevingutierrez@example.com,9446829797,1967-06-14,Chef
b06b206a-03c2-4317-a740-671c6ae92a3d,Dana,Evans,tylertaylor@example.com,601.684.6460x1707,1973-01-12,Waiter
59515636-3e34-45e5-8317-2ee3cf430842,Eric,Carter,nneal@example.net,9638586315,1966-01-03,Cashier
d3a1a48b-b5f8-4a10-8966-0d384be88e91,Deborah,Mack,ricederrick@example.net,228.818.3054x82367,2006-03-16,Cashier
942d42e4-9161-4c27-beaf-27c00a12f8b2,Jessica,Rios,petercarlson@example.org,672.934.1587x6690,2004-06-02,Chef
358be36f-f226-4c5c-b55d-a3789cd222d6,David,Stephens,atkinsshaun@example.net,(768)498-2198,1982-11-22,Waiter
cf274828-8acf-45ff-98a5-3426516adb82,Sandra,Caldwell,jenkinskimberly@example.net,(822)449-2947x4591,2001-11-19,Manager
828abd3c-a126-46f8-adbf-b9db8d673122,Michael,Gomez,hmercado@example.net,(562)845-3314,1997-02-06,Waiter
adfc4204-6455-49e4-8030-23a2fbbf380f,Ryan,Garcia,ashleysutton@example.org,(452)333-5961,1989-06-29,Cashier
78099266-ebbb-4d28-a673-91f37c1c25f9,Jeremy,Nolan,justin66@example.net,(951)756-7033x50543,1969-05-29,Cleaner
1874b63c-d339-4059-833a-bee386ab4f1f,Brooke,Brooks,oneillkrista@example.com,749.385.4798x1874,1979-07-30,Cashier
9e3de91a-a8b5-4d10-96d3-45a6ee08c22d,Marilyn,Morton,carlos12@example.com,+1-347-295-9626,1990-09-16,Waiter
1f2f7689-3853-485a-8546-197f9a1f88d9,Jessica,Lyons,mjones@example.net,216-614-7643x6405,1980-07-12,Cleaner
7d6b3d83-9a6a-4c8c-ade4-da1795d85e64,Erik,Parker,marquezlori@example.com,8792607735,1971-12-18,Chef
563f650e-5ccc-443f-9718-30a1337d09a4,Kyle,Olson,perkinsvernon@example.org,+1-206-205-3438,1999-06-05,Cleaner
e2293339-174d-4e57-88da-59ceb9e99d7e,Richard,Hull,zjackson@example.org,001-526-632-8140x950,1968-12-30,Waiter
5c2b90fd-7ca4-4fc3-87c4-29225b23de38,Donald,Johnson,herreracrystal@example.org,+1-353-899-0520x8614,1980-08-18,Cashier
713cd615-b267-453c-9854-654cb30c1a9e,Patricia,Baker,russell46@example.net,001-613-345-2884x2849,1999-01-20,Waiter
a1e5431f-b8f8-4b21-99be-715322d9466e,Jackson,Yates,savila@example.org,(429)893-9182x38030,1963-05-20,Waiter
548f0e6b-79e7-4109-8172-a3604e2aecbd,Jennifer,Gonzalez,flucas@example.org,001-767-747-3875x60372,1965-03-03,Cashier
062a4ac0-7711-40d4-8e3c-84807758fc9e,David,Sanchez,karenmedina@example.net,001-693-617-5231x53536,1982-01-08,Cashier
306d18ef-c020-48b2-aaef-9723873accec,Christopher,Fischer,morrisdennis@example.org,001-294-737-8068x1656,1994-09-01,Cashier
9e4dc31a-f17c-4404-aefa-4a84aa30da67,Richard,Greene,anthony24@example.com,+1-226-293-6869x651,1977-06-20,Chef
f07a5225-8c3b-4175-9a85-5cdd7e363d2b,Thomas,Kaufman,stephen98@example.org,001-826-820-8573x70079,1997-11-02,Manager
7c50ede0-33de-4a8a-b281-cd81f9f0a6f5,Jesse,Matthews,patriciadoyle@example.com,8065939740,1971-10-21,Cashier
e18c6ca8-ec60-4ce5-ac1c-11885ab87c6e,Ronald,Parsons,irice@example.com,(852)565-7808x0440,1969-05-08,Chef
b9035fe0-7f22-4617-8990-c0ed37175a19,Ryan,Lindsey,donnaarnold@example.org,(738)455-4388,1968-08-29,Cashier
954a58a4-f4e3-4e80-b40f-f4b0e762145c,Michelle,Johnson,hwright@example.com,+1-216-252-5060x3970,1969-06-13,Waiter
a9343d0c-d96d-45c9-ba99-edfe46d22678,Jerry,Mata,wendy34@example.net,001-749-827-1962x63609,1988-01-14,Waiter
